question,ground_truth
"Nghiên cứu 'Green Buildings in Vietnam: Development Process, Global Principles, and Future Trends' đề cập đến 4 hệ thống đánh giá công trình xanh chủ yếu nào đang thống trị thị trường Việt Nam?","4 hệ thống đánh giá công trình xanh chủ yếu đang thống trị thị trường Việt Nam được đề cập là LEED, LOTUS, EDGE, và Green Mark."
"Theo nghiên cứu về công trình xanh ở Việt Nam, Hội đồng Công trình Xanh Việt Nam (VGBC) được thành lập vào năm nào và hội đồng này được công nhận chính thức bởi cơ quan nào vào năm 2009?",VGBC được thành lập vào năm 2007 và được Bộ Xây dựng (Ministry of Construction) công nhận chính thức vào năm 2009.
Nghiên cứu về công trình xanh đối chiếu thực trạng Việt Nam với 7 nguyên tắc chính sách toàn cầu hướng đến năm 2050 của Hội đồng công trình Xanh Thế giới (World Green Building Council) là những nguyên tắc nào?,"7 nguyên tắc chính sách toàn cầu hướng đến năm 2050 của Hội đồng công trình Xanh Thế giới (World Green Building Council) là: Carbon (Carbon), Khả năng phục hồi (Resilience), Tính tuần hoàn (Circularity), Nước (Water), Đa dạng sinh học (Biodiversity), Sức khỏe (Health), và Công bằng (Equity)."
"Theo nghiên cứu về công trình xanh ở Việt Nam, việc áp dụng các tiêu chuẩn công trình xanh vào phát triển bất động sản mang lại mấy lợi ích chính cho các nhà đầu tư và các bên liên quan?",Việc áp dụng các tiêu chuẩn công trình xanh mang lại 6 lợi ích chính cho các nhà đầu tư và các bên liên quan.
"Theo báo cáo về thị trường công trình xanh châu Á được trích dẫn, tính đến đầu năm 2019, số lượng công trình xanh được cấp chứng nhận của Việt Nam là bao nhiêu và con số này so với Singapore là như thế nào?","Tính đến đầu năm 2019, Việt Nam đạt tổng cộng khoảng 100 công trình xanh được cấp chứng nhận, con số này ít hơn nhiều so với Singapore (đạt hơn 1.000 công trình được cấp chứng nhận)."
"Nghiên cứu 'Study on Landslide Mechanism on Basaltic Soils in Lam Dong Province, Vietnam' đã thu thập tổng cộng bao nhiêu mẫu đất và thực hiện khoan lấy mẫu ở các độ sâu nào?","Nghiên cứu đã thu thập tổng cộng 90 mẫu đất và thực hiện khoan lấy mẫu bằng tay ở các độ sâu là 0.5 m, 1.0 m, và 1.5 m."
"Trong nghiên cứu trượt lở đất bazan ở Lâm Đồng, mô hình số 2D Plaxis đã sử dụng các điều kiện biên dịch chuyển (deformation boundaries) và biên dòng chảy nước ngầm (groundwater-flow boundaries) như thế nào?","Mô hình số 2D Plaxis đã sử dụng các điều kiện biên dịch chuyển tiêu chuẩn (Xmin và Xmax cố định thông thường, Ymin cố định hoàn toàn, và Ymax tự do) và biên dòng chảy nước ngầm (mở ở Xmin, Xmax và Ymax; đóng ở Ymin)."
"Theo kết quả phân tích thành phần hạt của 90 mẫu đất bazan tại Lâm Đồng, các mẫu đất chủ yếu thuộc các nhóm kết cấu đất nào và hàm lượng hạt sét trong nhóm có nguy cơ sạt lở cao là bao nhiêu?","Các mẫu đất chủ yếu thuộc các nhóm kết cấu: đất sét (clay), đất thịt pha sét (clay loam), đất sét pha limon (silty clay), đất thịt pha sét cát (sandy clay loam) và đất cát pha thịt (sandy loam). Các nhóm có nguy cơ sạt lở cao có hàm lượng hạt sét từ 30% trở lên (>=30%)."
"Trong nghiên cứu về trượt lở đất bazan tại Lâm Đồng, quá trình phong hóa hóa học nào dưới tác động của nước mưa axit tự nhiên được đề cập là góp phần làm suy yếu cấu trúc đất lâu dài?",Quá trình phong hóa hóa học làm suy yếu cấu trúc đất lâu dài là sự hòa tan và biến đổi các chất liên kết oxit sắt (Fe2O3) dưới ảnh hưởng của nước mưa axit tự nhiên.
"Theo số liệu thống kê lượng mưa từ năm 2014 đến 2024 thu thập tại trạm Đà Lạt được đề cập trong nghiên cứu trượt lở đất, lượng mưa trung bình năm đạt bao nhiêu và lượng mưa ngày cao nhất vào các tháng mưa lớn là bao nhiêu?","Lượng mưa trung bình năm hầu hết đạt hơn 2000 mm, và lượng mưa ngày cao nhất tập trung vào các tháng mưa lớn từ tháng 6 đến tháng 9 lên tới 80 mm/ngày."
